_id,combined_tags,cleaned_combined_tags
5ef5dfdb2ab4cf551d8bcfd4,"[""Writing""]",Writing
5ef5e8692ab4cf551d8bcfd5,"[""Advising Youth"",""Mentor"",""Giving your time to community projects"",""Coach young people"",""Nurturing Talents"",""Skilling""]",Advising YouthMentorGiving your time to community projectsCoach young peopleNurturing TalentsSkilling
5ef5e90cdf376c7656e0c1ea,"[""Biashara, Youth Empowerment, social  media, acting,  community service""]",Biashara Youth Empowerment social  media acting  community service
5ef5ea68df376c7656e0c1ec,"[""Volunteer""]",Volunteer
5ef5ee15df376c7656e0c1f0,"[""Advising Youth"",""Mentor"",""Coach young people""]",Advising YouthMentorCoach young people
5ef5f5b7df376c7656e0c1f1,"[""Charity Work"",""Mentor"",""Serving in community Boards"",""Planting trees""]",Charity WorkMentorServing in community BoardsPlanting trees
5ef5fe652ab4cf551d8bcfdb,"[""Volunteer"",""Giving your time to community projects""]",VolunteerGiving your time to community projects
5ef63c3f2ab4cf551d8bcfe2,"[""Advising Youth"",""Charity Work"",""Helping the Needy"",""Giving your time to community projects"",""Coach young people"",""Coach youth sports team"",""Providing sanitary pads"",""Sexual Reproductive Health""]",Advising YouthCharity WorkHelping the NeedyGiving your time to community projectsCoach young peopleCoach youth sports teamProviding sanitary padsSexual Reproductive Health
5ef651fddf376c7656e0c1fa,"[""Biz Opportunities"",""Help sharpen my skills in Biz"",""Tips on how to start a Biz""]",Biz OpportunitiesHelp sharpen my skills in BizTips on how to start a Biz
5ef65fad2ab4cf551d8bcfe7,"[""Advising Youth"",""Volunteer""]",Advising YouthVolunteer
5ef6e513df376c7656e0c1fc,"[""Volunteer"",""Community Cleaning""]",VolunteerCommunity Cleaning
5ef6e6942ab4cf551d8bcfea,"[""Giving your time to community projects"",""Supporting children home"",""Blood donation drive""]",Giving your time to community projectsSupporting children homeBlood donation drive
5ef711b52ab4cf551d8bcfef,"[""Community Cleaning"",""Advising Youth"",""Volunteer""]",Community CleaningAdvising YouthVolunteer
5ef72e55df376c7656e0c205,"[""Community Cleaning""]",Community Cleaning
5ef744452ab4cf551d8bcff2,"[""Volunteer""]",Volunteer
5ef74dce2ab4cf551d8bcff3,"[""Volunteer""]",Volunteer
5ef99dcd2ab4cf551d8bcff9,"[""Kusupply eggs"",""Community Cleaning"",""Volunteer""]",Kusupply eggsCommunity CleaningVolunteer
5ef9f27d2ab4cf551d8bd001,"[""Advising Youth"",""Supporting children home"",""Nyumba kumi"",""Volunteer"",""Help needy Families"",""Giving your time to community projects"",""Donating food stuffs to the poor"",""Skilling"",""Planting trees"",""Mentor""]",Advising YouthSupporting children homeNyumba kumiVolunteerHelp needy FamiliesGiving your time to community projectsDonating food stuffs to the poorSkillingPlanting treesMentor
5efa43a0df376c7656e0c21a,"[""Volunteer""]",Volunteer
5efb028bdf376c7656e0c21b,"[""Community Cleaning"",""Volunteer"",""Advising Youth""]",Community CleaningVolunteerAdvising Youth
5efb04692ab4cf551d8bd007,"[""Advising Youth""]",Advising Youth
5efb05152ab4cf551d8bd008,"[""Volunteer"",""Community Cleaning"",""Advising Youth""]",VolunteerCommunity CleaningAdvising Youth
5efb08f82ab4cf551d8bd00c,"[""Volunteer""]",Volunteer
5efb09e9df376c7656e0c224,"[""Volunteer"",""Community Cleaning"",""Advising Youth""]",VolunteerCommunity CleaningAdvising Youth
5efb471ddf376c7656e0c22b,"[""Volunteer"",""Advising Youth"",""Charity Work"",""Helping the Needy"",""Mentor"",""Coach young people"",""Skilling""]",VolunteerAdvising YouthCharity WorkHelping the NeedyMentorCoach young peopleSkilling
5efc58e12ab4cf551d8bd014,"[""Volunteer""]",Volunteer
5efc810c2ab4cf551d8bd018,"[""Advising Youth""]",Advising Youth
